img1,img2,label
361__M_Right_middle_finger.BMP,202__M_Right_little_finger_CR_1.BMP,0
101_6.tif,073_2.tif,0
118_7.tif,118_8.tif,1
287__M_Left_index_finger.BMP,513__M_Right_little_finger_CR_2.BMP,0
067_3.tif,068_2.tif,0
083_2.tif,073_4.tif,0
367__M_Right_thumb_finger.BMP,367__M_Right_thumb_finger_Obl_1.BMP,1
036_3.tif,036_5.tif,1
012_2_1.tif,013_5_7.tif,0
081_3.tif,081_7.tif,1
012_8_8.tif,017_5_2.tif,0
012_7_8.tif,012_8_4.tif,0
063_2.tif,031_4.tif,0
033_4.tif,083_1.tif,0
048_5.tif,021_8.tif,0
027_6_4.tif,027_6_6.tif,1
012_10_2.tif,027_6_5.tif,0
098_6.tif,098_7.tif,1
076_9_6.tif,076_9_8.tif,1
022_1_5.tif,022_4_2.tif,0
304__M_Left_little_finger.BMP,304__M_Left_little_finger_CR_1.BMP,1
078_4.tif,078_8.tif,1
030_4.tif,033_5.tif,0
005_2.tif,035_6.tif,0
056_5.tif,030_4.tif,0
067_6.tif,031_8.tif,0
117__F_Left_index_finger.BMP,489__M_Right_ring_finger_Obl_1.BMP,0
025_1.tif,089_1.tif,0
056_6.tif,033_1.tif,0
184__M_Right_little_finger.BMP,184__M_Right_little_finger_Obl_2.BMP,1
047_5.tif,011_8.tif,0
013_9_1.tif,022_9_5.tif,0
074_3.tif,021_2.tif,0
113_8.tif,017_2.tif,0
485__M_Right_little_finger.BMP,272__M_Left_little_finger_CR_3.BMP,0
013_5_3.tif,027_8_8.tif,0
581__F_Left_ring_finger.BMP,581__F_Left_ring_finger_Zcut_3.BMP,1
012_10_7.tif,012_6_1.tif,0
017_7_5.tif,076_9_1.tif,0
101_7.tif,045_2.tif,0
212__M_Right_index_finger.BMP,212__M_Right_index_finger_Zcut_3.BMP,1
098_5.tif,001_7.tif,0
568__M_Left_index_finger.BMP,568__M_Left_index_finger_Obl_2.BMP,1
276__M_Right_middle_finger.BMP,598__M_Left_little_finger_Obl_2.BMP,0
030_2.tif,030_6.tif,1
017_10_7.tif,017_10_8.tif,1
017_3_4.tif,022_3_2.tif,0
093_2.tif,077_6.tif,0
103_6.tif,103_8.tif,1
012_7_3.tif,012_7_8.tif,1
013_5_6.tif,017_7_6.tif,0
027_5_8.tif,057_4_3.tif,0
026_5.tif,073_3.tif,0
112_5.tif,112_7.tif,1
013_3_8.tif,013_7_5.tif,0
083_8.tif,001_6.tif,0
012_7_6.tif,013_1_5.tif,0
095_1.tif,095_8.tif,1
017_3_6.tif,017_8_2.tif,0
014_1.tif,064_2.tif,0
059_2.tif,059_8.tif,1
097_6.tif,004_7.tif,0
279__M_Right_ring_finger.BMP,279__M_Right_ring_finger_Obl_1.BMP,1
027_1_2.tif,027_1_6.tif,1
029_5.tif,029_6.tif,1
119_7.tif,076_2.tif,0
123__M_Right_middle_finger.BMP,131__M_Left_thumb_finger_Zcut_1.BMP,0
073_3.tif,093_4.tif,0
012_10_5.tif,027_5_2.tif,0
027_10_5.tif,027_10_6.tif,1
003_3.tif,046_1.tif,0
012_2_3.tif,012_8_4.tif,0
576__M_Left_little_finger.BMP,576__M_Left_little_finger_CR_1.BMP,1
001_7.tif,025_4.tif,0
012_4_7.tif,027_7_3.tif,0
157__M_Right_ring_finger.BMP,157__M_Right_ring_finger_CR_1.BMP,1
356__M_Right_middle_finger.BMP,268__M_Left_middle_finger_Obl_1.BMP,0
012_5_1.tif,057_3_2.tif,0
225__M_Left_ring_finger.BMP,124__M_Right_ring_finger_Obl_1.BMP,0
012_5.tif,012_6.tif,1
012_5_3.tif,022_1_5.tif,0
013_9_7.tif,017_9_5.tif,0
088_4.tif,074_7.tif,0
093_3.tif,116_6.tif,0
033_4.tif,090_1.tif,0
005_3.tif,005_4.tif,1
012_2_3.tif,017_7_3.tif,0
100__M_Left_middle_finger.BMP,491__M_Right_index_finger_CR_1.BMP,0
047_7.tif,018_4.tif,0
057_2.tif,051_5.tif,0
062_5.tif,072_8.tif,0
405__M_Right_index_finger.BMP,295__M_Left_little_finger_Obl_2.BMP,0
126__F_Left_ring_finger.BMP,126__F_Left_ring_finger_CR_3.BMP,1
013_9_7.tif,017_6_4.tif,0
049_7.tif,058_2.tif,0
088_7.tif,015_7.tif,0
107_1.tif,107_6.tif,1
054_3.tif,054_6.tif,1
041_8.tif,024_4.tif,0
012_5_8.tif,076_8_6.tif,0
35__M_Right_thumb_finger.BMP,35__M_Right_thumb_finger_Obl_1.BMP,1
322__M_Right_ring_finger.BMP,418__F_Left_middle_finger_Zcut_1.BMP,0
116_6.tif,028_3.tif,0
100_1.tif,100_4.tif,1
368__M_Left_thumb_finger.BMP,368__M_Left_thumb_finger_CR_2.BMP,1
070_6.tif,067_3.tif,0
071_4.tif,053_2.tif,0
216__M_Right_index_finger.BMP,216__M_Right_index_finger_CR_1.BMP,1
17__M_Right_thumb_finger.BMP,79__M_Left_middle_finger_Zcut_3.BMP,0
528__F_Left_ring_finger.BMP,278__M_Right_index_finger_Obl_2.BMP,0
565__M_Left_index_finger.BMP,230__M_Left_little_finger_Obl_2.BMP,0
076_1_1.tif,076_1_6.tif,1
101_5.tif,106_1.tif,0
105_2.tif,025_3.tif,0
032_2.tif,017_2.tif,0
080_3.tif,080_4.tif,1
056_2.tif,056_6.tif,1
048_4.tif,091_2.tif,0
118_7.tif,003_3.tif,0
095_2.tif,095_3.tif,1
054_4.tif,054_5.tif,1
110_3.tif,047_8.tif,0
012_8_4.tif,012_8_8.tif,1
013_7_1.tif,017_5_5.tif,0
52__M_Right_index_finger.BMP,551__F_Right_little_finger_Obl_2.BMP,0
017_4_1.tif,076_2_2.tif,0
066_6.tif,040_1.tif,0
070_1.tif,090_7.tif,0
75__F_Right_middle_finger.BMP,75__F_Right_middle_finger_Zcut_3.BMP,1
523__F_Right_little_finger.BMP,523__F_Right_little_finger_Zcut_1.BMP,1
012_5_2.tif,012_5_4.tif,1
98__M_Right_little_finger.BMP,98__M_Right_little_finger_Zcut_1.BMP,1
461__F_Right_middle_finger.BMP,89__M_Left_index_finger_Zcut_1.BMP,0
027_8_4.tif,076_6_2.tif,0
013_9_8.tif,022_9_6.tif,0
003_4.tif,088_1.tif,0
012_2_6.tif,076_4_7.tif,0
072_1.tif,072_2.tif,1
178__M_Left_index_finger.BMP,495__M_Right_thumb_finger_Obl_1.BMP,0
046_1.tif,046_7.tif,1
177__F_Right_little_finger.BMP,98__M_Right_middle_finger_CR_1.BMP,0
062_4.tif,062_6.tif,1
006_2.tif,085_5.tif,0
234__M_Right_index_finger.BMP,234__M_Right_index_finger_Zcut_1.BMP,1
251__M_Left_thumb_finger.BMP,251__M_Left_thumb_finger_Zcut_3.BMP,1
288__M_Right_middle_finger.BMP,288__M_Right_middle_finger_Zcut_3.BMP,1
017_4_8.tif,027_3_4.tif,0
348__F_Right_little_finger.BMP,394__M_Right_thumb_finger_Obl_2.BMP,0
012_7_8.tif,013_6_4.tif,0
083_5.tif,043_2.tif,0
298__M_Left_middle_finger.BMP,387__F_Left_thumb_finger_Obl_3.BMP,0
065_4.tif,035_2.tif,0
046_7.tif,046_8.tif,1
198__M_Left_little_finger.BMP,198__M_Left_little_finger_Obl_3.BMP,1
551__F_Right_middle_finger.BMP,60__M_Right_thumb_finger_CR_1.BMP,0
042_7.tif,065_6.tif,0
066_4.tif,118_4.tif,0
056_6.tif,082_3.tif,0
050_6.tif,085_4.tif,0
190__M_Right_middle_finger.BMP,75__F_Left_ring_finger_Obl_2.BMP,0
028_8.tif,002_3.tif,0
